index,,,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
97,,,16:35:00,2,14:30:00,7:05:00,3,DL8517,DL,Delta Airlines,166463,244810,620812
98,,,15:30:00,0,14:40:00,6:10:00,1,DL82,DL,Delta Airlines,166463,,
99,,,15:30:00,1,14:40:00,6:10:00,2,DL82,DL,Delta Airlines,166463,243873,
100,,,20:15:00,1,14:20:00,10:35:00,2,VS3948,VS,Virgin Atlantic,106112,219544,
101,,,20:15:00,6,14:20:00,10:35:00,0,VS3948,VS,Virgin Atlantic,106112,226253,625056
102,,,15:20:00,1,14:35:00,5:55:00,2,VS4054,VS,Virgin Atlantic,106112,219544,
103,,,17:35:00,6,14:35:00,8:10:00,0,VS3932,VS,Virgin Atlantic,106112,226253,625056
104,,,17:35:00,1,14:35:00,8:10:00,2,VS3932,VS,Virgin Atlantic,106112,219544,
105,,,15:20:00,6,14:35:00,5:55:00,0,VS4054,VS,Virgin Atlantic,106112,226253,625056
106,,,20:15:00,4,14:20:00,10:35:00,5,VS3948,VS,Virgin Atlantic,111489,,
107,,,15:20:00,4,14:35:00,5:55:00,5,VS4054,VS,Virgin Atlantic,111489,,
108,,,17:35:00,4,14:35:00,8:10:00,5,VS3932,VS,Virgin Atlantic,111489,,
109,,,22:40:00,6,14:15:00,12:55:00,0,DL9375,DL,Delta Airlines,162960,,
110,,,20:15:00,6,14:20:00,10:35:00,0,DL74,DL,Delta Airlines,162960,226253,
111,,,20:15:00,0,14:20:00,10:35:00,1,VS3948,VS,Virgin Atlantic,162960,225034,
112,,,17:35:00,0,14:35:00,8:10:00,1,VS3932,VS,Virgin Atlantic,162960,225034,625056
113,,,15:20:00,0,14:35:00,5:55:00,1,VS4054,VS,Virgin Atlantic,162960,225034,
114,,,15:20:00,2,14:35:00,5:55:00,3,VS4054,VS,Virgin Atlantic,162960,227156,
115,,,22:40:00,0,14:15:00,12:55:00,1,DL9375,DL,Delta Airlines,163568,,
116,,,20:15:00,0,14:20:00,10:35:00,1,DL74,DL,Delta Airlines,163568,227156,620812
117,,,20:15:00,2,14:20:00,10:35:00,3,VS3948,VS,Virgin Atlantic,163568,227156,
118,,,20:15:00,1,14:20:00,10:35:00,2,DL74,DL,Delta Airlines,163568,,
119,,,17:35:00,2,14:35:00,8:10:00,3,VS3932,VS,Virgin Atlantic,163568,227156,
120,,,15:20:00,1,14:35:00,5:55:00,2,DL70,DL,Delta Airlines,163568,,
121,,,17:35:00,0,14:35:00,8:10:00,1,DL72,DL,Delta Airlines,163568,227156,
122,,,15:20:00,0,14:35:00,5:55:00,1,DL70,DL,Delta Airlines,163568,227156,620812
123,,,17:35:00,6,14:35:00,8:10:00,0,DL72,DL,Delta Airlines,163568,226253,
124,,,15:20:00,2,14:35:00,5:55:00,3,DL70,DL,Delta Airlines,163568,227156,532900
125,,,8:00:00,5,1:22:00,9:22:00,5,NK233,NK,Spirit Airlines,7941,,
126,,,8:00:00,4,1:22:00,9:22:00,4,NK233,NK,Spirit Airlines,7941,,
127,,,13:46:00,5,1:18:00,15:04:00,5,F91551,F9,Frontier Airlines,7978,,
128,,,8:00:00,1,1:22:00,9:22:00,1,NK233,NK,Spirit Airlines,10631,,
129,,,8:00:00,2,1:22:00,9:22:00,2,NK233,NK,Spirit Airlines,10631,,
130,,,8:00:00,3,1:22:00,9:22:00,3,NK233,NK,Spirit Airlines,10631,,
131,,,14:31:00,2,1:22:00,15:53:00,2,F91551,F9,Frontier Airlines,10667,,
132,,,14:27:00,4,1:22:00,15:49:00,4,F91551,F9,Frontier Airlines,12101,,
133,,,14:19:00,0,1:22:00,15:41:00,0,F91551,F9,Frontier Airlines,12818,,
134,,,8:00:00,0,1:22:00,9:22:00,0,NK233,NK,Spirit Airlines,14215,,
